,Category,Description,Family,Family and Type,Mark,Type,Type Mark,Assembly Code,Assembly Description,Revit.ElementId
1,Walls,,MURO_TIPOA,MURO_TIPOA: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a261
2,Walls,,MURO_TIPOB,MURO_TIPOB: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a3b2
3,Walls,,MURO_TIPOB1,MURO_TIPOB1: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a3dc
4,Walls,,MURO_TIPOA1,MURO_TIPOA1: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a425
5,Walls,,MURO_TIPOB2,MURO_TIPOB2: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a447
6,Walls,,MURO_TIPOA2,MURO_TIPOA2: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a593
7,Walls,,MURO_TIPOB3,MURO_TIPOB3: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a5b5
8,Walls,,MURO_TIPOB4,MURO_TIPOB4: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a5d7
9,Walls,,MURO_TIPOA4,MURO_TIPOA4: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a678
10,Walls,,MURO_TIPOB6,MURO_TIPOB6: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a69a
11,Walls,,MURO_TIPOA3,MURO_TIPOA3: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a6ca
12,Walls,,MURO_TIPOB5,MURO_TIPOB5: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a6ec
13,Walls,,MURO_TIPOA5,MURO_TIPOA5: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004aaf8
14,Walls,,MURO_TIPOB7,MURO_TIPOB7: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ab1a
